Addresses,lat,lon
"Klahanie Drive Southeast, Sammamish, Washington 98029",47.574002,-121.998251
"6300 East Lake Sammamish Parkway Southeast, Issaquah, Washington 98029",47.545283,-122.037268
"1801 10th Avenue Northwest, Issaquah, Washington 98027",47.551386,-122.052785
"26458 Maple Valley Black Diamond Road Southeast, Maple Valley, Washington 98038",47.363908,-122.020683
"1540 Northwest Gilman Boulevard, Issaquah, Washington 98027",47.546594,-122.060371
"27203 216th Avenue Southeast SUITE D, Maple Valley, Washington 98038",47.357066,-122.055878
"17432 Southeast 270th Place, Covington, Washington 98042",47.360753,-122.108875
"14410 Southeast Petrovitsky Road Suite 104, Renton, Washington 98058",47.444425,-122.148158
"15100 Southeast 38th Street, Bellevue, Washington 98006",47.576666,-122.137259
"27500 168th Place Southeast, Covington, Washington 98042",47.354984,-122.116931
"3801 150th Avenue Southeast, Bellevue, Washington 98006",47.575636,-122.140657
"27520 Covington Way Southeast, Covington, Washington 98042",47.355093,-122.121368
"3901 Northeast 4th Street Suite 105 , Renton, Washington 98056",47.48785,-122.165287
"14350 Southeast Eastgate Way, Bellevue, Washington 98007",47.581159,-122.149881
"7203 129th Avenue Southeast Ste 100, Newcastle, Washington 98056",47.538068,-122.168095
"3116 Northeast Sunset Boulevard, Renton, Washington 98056",47.503585,-122.177978
"653 156th Avenue Northeast, Bellevue, Washington 98007",47.616405,-122.133526
"15063 Main Street, Bellevue, Washington 98007",47.608704,-122.13963
"4400 130th Place Southeast, Bellevue, Washington 98006",47.566368,-122.165853
"13451 Southeast 36th Street, Bellevue, Washington 98006",47.579006,-122.160768
"7725 188th Avenue Northeast, Redmond, Washington 98052",47.674381,-122.091161
"275 Bronson Way Northeast, Renton, Washington 98056",47.486632,-122.192625
"647 140th Avenue Northeast, Bellevue, Washington 98005",47.616783,-122.154325
"1215 North Landing Way, Renton, Washington 98057",47.496213,-122.199897
"10712 Southeast Carr Road, Renton, Washington 98055",47.445701,-122.197887
"1205 North 10th Street Suite C, Renton, Washington 98057",47.49767,-122.201466
"7370 170th Avenue Northeast, Redmond, Washington 98052",47.6697,-122.112512
"27112 132nd Avenue Southeast, Kent, Washington 98042",47.358803,-122.164818
"12946 Southeast Kent Kangley Road, Kent, Washington 98030",47.360063,-122.167074
"3915 Talbot Road South Suite 401, Renton, Washington 98055",47.444327,-122.21224
"15809 Bear Creek Parkway Suite 100, Redmond, Washington 98052",47.673323,-122.129274
"15840 Redmond Way, Redmond, Washington 98052",47.675764,-122.128229
"743 Rainier Avenue South, Renton, Washington 98057",47.472161,-122.221094
"11919 Northeast 8th Street, Bellevue, Washington 98005",47.61702,-122.180774
"1350 Garrett Street, Enumclaw, Washington 98022",47.200481,-121.988527
"24920 104th Avenue Southeast, Kent, Washington 98030",47.37865,-122.201426
"11511 Northeast 10th Street, Bellevue, Washington 98004",47.618606,-122.186761
