id,lat,lon
V1,47.29875,-122.21817
V2,47.32149,-122.22705
V3,47.25128,-122.11511
V4,47.6201,-122.19434
V5,47.61684,-122.114647
V6,47.5698574,-122.1469348
V7,47.3119163,-122.0126341
V8,47.7614804,-122.2063107
V9,47.7599575,-122.1902704
V10,47.4952941,-122.3078571
V11,47.4670571,-122.3402137
V12,47.6503963,-121.9122811
V13,47.359078,-122.1217879
V14,47.3885491,-122.3025155
V15,47.73459,-121.931974
V16,47.2035882,-121.9875339
V17,47.5687473,-121.8939262
V18,47.315588,-122.320876
V19,47.30397,-122.32656
V20,47.530349,-122.034202
V21,47.760516,-122.249381
V22,47.418369,-122.196721
V23,47.38048,-122.196964
V24,47.384804,-122.238366
V25,47.729734,-122.176415
V26,47.678403,-122.207127
V27,47.753911,-122.277569
V28,47.419967,-121.972661
V29,47.371068,-122.022191
V30,47.589916,-122.2275
V31,47.538532,-122.168861
V32,47.423912,-122.337093
V33,47.496683,-121.783355
V34,47.271632,-122.253604
V35,47.679072,-122.131115
V36,47.664282,-122.106236
V37,47.450836,-122.154516
V38,47.468059,-122.229934
V39,47.472823,-122.231541
V40,47.49483,-122.176095
V41,47.601324,-122.036804
V42,47.423063,-122.297786
V43,47.443203,-122.273727
V44,47.669816,-122.38444
V45,47.578048,-122.311405
V46,47.538933,-122.290196
V47,47.72302,-122.356246
V48,47.490567,-122.238555
V49,47.616898,-122.321356
V50,47.607757,-122.302247
V51,47.596343,-122.326748
V52,47.561542,-122.284344
V53,47.602903,-122.329271
V54,47.646925,-122.33331
V55,47.68018,-122.328173
V56,47.719797,-122.298093
V57,47.633486,-122.398045
V58,47.703058,-122.333762
V59,47.650659,-122.361576
V60,47.524488,-122.270715
V61,47.682877,-122.259467
V62,47.5263,-122.322585
V63,47.656522,-122.312725
V64,47.561334,-122.388505
V65,47.548156,-122.376062
V66,47.547,-122.353072
V67,47.506875,-122.35327
V68,47.755524,-122.324708
V69,47.766706,-122.346973
V70,47.529888,-121.872247
V71,47.491031,-122.278332
V72,47.450815,-122.459514
V73,47.751487,-122.081921
